Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Comments
1,Document,,,,,,,,,Draft,Copy of end turn,,,
2,Page,,,,,,,,,,Sequence diagram,,,
3,Option Loop,UML,2,,,,,,,,Opt,[can end turn],,
4,Alternative,UML,2,3,,,,,,,Alternative,[completionDone == true],[Else],
5,Alternative,UML,2,3|4,,,,,,,Alternative,[money < 0],[Else],
6,Activation,UML,2,,,,,,,,,,,
7,Activation,UML,2,3|4,,,,,,,,,,
8,Class,UML,2,,,,,,,,:Board,,,
9,Class,UML,2,,,,,,,,gameController:Game,,,
10,Class,UML,2,,,,,,,,player[currentPlayer]:Player,,,
11,Actor,UML,2,,,,,,,,:Player,,,
12,Text,Standard,2,,,,,,,,End Turn,,,
13,Class,UML,2,,,,,,,,bar:CompletionBar,,,
14,Activation,UML,2,3,,,,,,,,,,
15,Class,UML,2,,,,,,,,display:Display,,,
16,Activation,UML,2,3|4,,,,,,,,,,
17,Activation,UML,2,3|4,,,,,,,,,,
18,Activation,UML,2,3|4|5,,,,,,,,,,
19,Line,,2,,,8,,None,None,,,,,
20,Line,,2,,,9,,None,None,,,,,
21,Line,,2,,,10,,None,None,,,,,
22,Line,,2,,,11,,None,None,,,,,
23,Line,,2,,,22,6,None,Arrow,,click end turn,,,
24,Line,,2,,,6,7,None,Arrow,,endTurn(),,,
25,Line,,2,,,,,None,None,,,,,
26,Line,,2,,,13,,None,None,,,,,
27,Line,,2,,,7,14,None,Arrow,,isCompleted(),,,
28,Line,,2,,,14,7,None,Arrow,,return(completionDone),,,
29,Line,,2,,,15,,None,None,,,,,
30,Line,,2,,,7,16,None,Open Arrow,,"openEndScreen(true, players)",,,
31,Line,,2,,,7,17,None,Arrow,,getMoney(),,,
32,Line,,2,,,17,7,None,Arrow,,return(money),,,
33,Line,,2,,,7,18,None,Open Arrow,,"openEndScreen(false, players)",,,
34,Line,,2,,,7,7,None,Arrow,,startTurn(),,,
